+7-2=2,0,1
+7°C,0,1
+8-6,0,1
1/10,0,1
1/5,0,1
10-ЛЕТИЕ,0,1
100%,0,1
10X8,0,1
125-ЛЕТИЕ,0,1
15-ЛЕТИЕ,0,2
2-НДФЛ,0,1
20-ЛЕТИЕ,0,2
200-ЛЕТИЕ,0,1
2005,0,1
2012,0,1
25-ЛЕТИЕ,0,2
3 X 10_22,0,1
300-ЛЕТИЕ,0,3
3500С,0,1
3LCD,0,1
400-ЛЕТИЕ,0,1
4300С,0,1
4А,0,2
4Б,0,2
50-ЛЕТИЕ,0,1
500+700,0,1
50°С,0,1
5150С,0,1
5А,0,3
5Б,0,1
6,0,1
60-ЛЕТИЕ,0,1
600-ЛЕТИЕ,0,1
6Б,0,1
70-ЛЕТИЕ,0,1
80-ЛЕТИЕ,0,1
85-ЛЕТИЕ,0,1
850-ЛЕТИЕ,0,1
8X8,0,1
AFGHAN ISLAMIC PRESS,0,1
AIP,0,1
AL-JAZIRA,0,1
ARCHIVE.ORG,1,0
B+,0,1
B2B,1,0
BLACK*DECKER,1,0
BMW,0,1
BOEING,0,1
BUTTKICKER,0,6
CHRYSLER,0,1
CNN,0,1
CO2,0,3
DAIMLERCHRYSLER,0,1
DELL,0,1
DEUTSCHLAND,0,1
DYSONDC08ANIMALPRO,0,1
E = MC2,0,1
E-КЛАСС,0,1
EUROSCIENCE,0,1
FERRARI,1,2
FINANCIAL,0,1
FORD,0,2
FOREX,0,1
FUJITSU,0,1
G = 0,1,0
GERMAN,0,1
GLAMOUR,1,0
GONGO,1,3
GPS-ТРЕКЕР,0,1
GS,0,2
GUARDIAN,0,1
GZT.RU,0,1
H1,2,0
HBS,0,1
HDTV-ДИСПЛЕЙ,0,1
HEINRICH,0,1
HENRI,0,1
HERMANN,0,1
HESS,0,1
HGTE,0,1
I,0,3
I2P,1,1
INTEL80286,0,1
INTEL80486,0,1
IT-ИНДУСТРИЯ,0,3
IT-КОМПАНИЯ,1,1
JSPOC,0,2
K-ФАКТОР,0,1
K2,0,2
L/D,0,1
LEGO,0,1
LEXUS,0,1
LINCOLN CONTINENTAL,0,1
LS,0,1
MAGTICOM,0,1
MERCEDES,0,3
MSC,0,2
N,0,2
N169О,0,1
NBC,0,1
NEC,0,1
NEWSWEEK,0,2
NN,0,1
ORACLE,0,1
ORGANIC_and_LOCAL,1,0
OXYGEN+,0,1
P.S,1,0
PENTIUM,0,1
PERSEO,0,1
PH.D,0,1
PP,0,1
PRUDENTIAL,0,1
PUBLICPOST,0,1
RENAULT,0,1
ROBOCUP,1,3
ROBOTS.TXT,5,0
